source,target,weight
davidsonkarokaro,indovibing.id,1
dealerpolygonphoenix,metrotv,1
deharja77,indovibing.id,1
delfistjun,warta.dotcom,1
dellyfebriadi,updatenusantaracom,1
denantaaaaa,bitorexpost,1
dennysanjayasanjaya,jakarta_headlines,1
desiantoerwan,suaradotcom,1
deviratnasari1212,katakitaig,1
dhannytama,koranbaliexpress,1
dheni.id,otoproject,1
dhila_meong,katakitaig,1
dian_k.pratama,koranbaliexpress,1
dianalstr14,feedcollective.co,1
didik2750,radiopatria,1
didinsahruddinfirdausy,kapitalismarket,1
didinsahruddinfirdausy,sindonews,1
dimas87936,koranbaliexpress,1
dinosau12us,satukanjiwa2024,1
dion_siagian,sindonews,1
diosbright,suaradotcom,1
djihad_08,bitorexpost,1
djoko_simbolon,metrotv,1
djonichew1071,cerah_indonesiaku,1
dngcahyok,sindonews,1
doddrell_tanty,metrotv,1
dodo_grandw,warta.dotcom,1
dolaycut,officialinewstv,1
donavan977,tumbuhkaya.id,1
doomypn,otoproject,1
dr_amar___,metrotv,1
drambollfc,otoproject,1
drawinn_00,depokhariini,1
dsfrozenfood,bitorexpost,1
dutarzqcmrlg,suaradotcom,1
dwifirdaus_11,feedcollective.co,1
dwighthendro,feedcollective.co,1
dwilaksonosetyowibowo,manofourtimeid,1
dyansusantoo,metrotv,1
dynemc2.0,infobanyuwangi,1
ecobiz.asia,ecobiz.asia,1
eddie__ngging,metrotv,1
edwarjuhandi,otoproject,1
edyalnur,banten.feeds,1
ehsan.nura,tantriianita,1
einsten_davidson,cakinvestmentclub,1
ekardiman,officialinewstv,1
ekhoirul8,komnas.ham,1
ekomotormabur,metrotv,1
ekonomienergi_up45,aqielr15,1
elcoroch,astrobike.katalog,1
elmayatigoenawan,daripresiden,1
elvina.tjhan,bitorexpost,1
emanwahidinj,bitorexpost,1
endahnu,astrobike.katalog,1
erj199e,officialinewstv,1
eurekatedja,warta.dotcom,1
evander_manroe77,sindonews,1
evapermatasari25,metrotv,1
evita.do,bitorexpost,1
ewfharis,tumbuhkaya.id,1
excelsobraziliansantos,anaktambang,1
eyt70,manofourtimeid,1
ezazafin,sindonews,1
ezzadwik,cryfex.id,1
fa.rid5440,jabodetabek24info,1
fadlanahya,genergibersih,1
fahmimuhtasyam17,radiopatria,1
faisalladamm,arkaproject.idn,1
fajarhitammm,arkaproject.idn,1
fanboygarislucu,koranbaliexpress,1
fannyfariano24,metrotv,1
faqihh43,feedcollective.co,1
farelmaliq944,suaradotcom,1
fatihdev88,trendjktcom,1
fazrisywbznntdm,katadatacoid,1
feat.fatia1296,metrotv,1
feb.rmd,investordailyid,1
febri14300,astrobike.katalog,1
febriiblink.16,infobanyuwangi,1
febriyvn.me,plnip.ubpadipala,1
fharidotulamanah,trendjktcom,1
filaaja16,trendjktcom,1
firdaus_ahmad_015,timesindonesia,1
fitrianto971,sindonews,1
francesumayow,apaajapku,1
freedome4palestine,bitorexpost,1
fren_fc,sukabumiupdatecom,1
friedo.hekya,warta.dotcom,1
frijal,otoproject,1
gahars_official,bitorexpost,1
galihtnml_70,timesindonesia,1
ganishalasad,webekspor,1
gdl_fotografer,anaktambang,1
genterpol007,mr.opini,1
geodipaenergi,djebtke,1
geodipaenergi.patuha,djebtke,1
gerryonk,otoproject,1
ghe_penk13,metrotv,1
ghfrihms_,tantriianita,1
gifanyslla__,otospector,1
gilang_tjuk,infobanyuwangi,1
gladtribe,tumbuhkaya.id,1
goodyeay,katadatacoid,1
gputra_andreass,sindonews,1
grendygrey,sindonews,1
grillsuki_banyuwangi,infobanyuwangi,1
gudang.nabati,kompascom,1
gurlsyd,luarbioskop,1
gus_slo,otoproject,1
h3ll3ir3,koranbaliexpress,1
hafidahmadf_18,cerah_indonesiaku,1
hairil_gaskin,anaktambang,1
hajiacac,koranbaliexpress,1
hallorew,solehchemist,1
hanatamara70,trendjktcom,1
haniatul_mardiyah7,rikasavvyy,1
hardi.aswin,katakitaig,1
haris449077,sindonews,1
haritasik12,metrotv,1
harry.adi_,otoproject,1
harryseagal4,bitorexpost,1
hars_1928,warta.dotcom,1
harya_pharis,sindonews,1
harybudiman23,kompascom,1
hastutiwuri,katakitaig,1
hayanidjowuri,rujakpolitik,1
heindrow,daripresiden,1
hendriusman52,sindonews,1
hernady_fr,danurenjaya,1
hisyammtaufiiq,arkaproject.idn,1
hsbluhut,koranbaliexpress,1
hudhori.asikin,policy.pop,1
iaammaulana,lifeatgenb,1
iam_fauzi99,otoproject,1
ichlasmohamad,sindonews,1
ickromah_uzumaki,trendjktcom,1
idnpolicy,koranbaliexpress,1
igpunyaani,trendjktcom,1
ihkam_lafiza8,rikasavvyy,1
ikanasin_tokolima,tommybr_jipro,1
ikasetyawan25,katakitaig,1
ikayaji2407,sindonews,1
ikhwan.averoes,sindonews,1
ikie_ramadhan,simakpolitik,1
ikiriswan062,naturevolution.id,1
ilham_m_ge8,manofourtimeid,1
ilhamkaru,daripresiden,1
im.ullann,otospector,1
in_house_0,infobanyuwangi,1
indovolix,simakpolitik,1
indra.christianpatrick2017,borobudur_news,1
indra_aetiawan,bitorexpost,1
indra_rachman19,sindonews,1
indraadityaa9191,manofourtimeid,1
inpresroad,metrotv,1
ipenkun,bitorexpost,1
irfanmohmd,tuturmediadigital,1
irfansaehab_,luarbioskop,1
isanurachmad,genbanteng,1
istamar_ist,mhdcclinic,1
isyaknurhadi,agam.munawar,1
itaa_masitah19,kompascom,1
itongeka,sindonews,1
itshnfrs,otoproject,1
itsmeaccent,luarbioskop,1
iwan.nug,metrotv,1
iyan.rahadyan,jabarekspres,1
iyolah_72,banten.feeds,1
jefry.wulingbatam,otoproject,1
jelly.caty,tuturmediadigital,1
jendrasyaiful,daripresiden,1
jhanyshopcod,katakitaig,1
jibranmahesi,infobandaacehs,1
jiggy_jig30,infobanyuwangi,1
jouskaaaaaa_,luarbioskop,1
juangjoko,sindonews,1
julizar_idris,pln.epi,1
justme.20241,investordailyid,1
justsomeone.rd,investordailyid,1
k_dem_09,luarbioskop,1
kabar_makassar,kabar_makassar,1
kadal.buntet,satukanjiwa2024,1
kak_bho,banten.feeds,1
kaneta.sticker,apaajapku,1
kang_dondon,webekspor,1
kardiman_saja,tommybr_jipro,1
karerekaka,enternusantara,1
karil_camara2,rikasavvyy,1
kartika1654,sindonews,1
kata2_tak_tertulis,bitorexpost,1
kayaknyaiqbal,indo.flashid,1
kazooel1933,infobandaacehs,1
keanuabhivandya,banten.feeds,1
kebo.budhuk,satukanjiwa2024,1
kekenabdullah,feedcollective.co,1
kelaut_aja,satukanjiwa2024,1
kemalhanafii,sukabumiupdatecom,1
kerjamuid,satupersenofficial,1
kevin4627williams,officialnusantaratv,1
kevvphotographer,bitorexpost,1
zinprimadew,bitorexpost,1
khayfazar74,astakomunikasi,1
khemkorner,anaktambang,1
khris_chelsea,genbanteng,1
khrris_,kompascom,1
kikiw_2026_,depokhariini,1
kopianu,metrotv,1
kosasihaditya_,sukabumiupdatecom,1
kuacikering5,cryfex.id,1
kucrut.bangke,satukanjiwa2024,1
kugynana,pln_enjiniring,1
kurnianto_susetiyo,sindonews,1
labuboy_696,luarbioskop,1
lambe_turah505,kapitalismarket,1
law_roes,sindonews,1
legnuts,kompascom,1
lemangowner,investordailyid,1
lenibit.ch,sindonews,1
lennygorat,zonaebt,1
lennz_shh,tumbuhkaya.id,1
linusvolta,republikbekasiofficial,1
lis.dyah,banten.feeds,1
liyasf,solehchemist,1
lkmn.xx1127,timesindonesia,1
lucky6276600,manofourtimeid,1
lugina_kurniawati,sukabumiupdatecom,1
lullyaryani,tommybr_jipro,1
0h_gituh,sindonews,1
lutfan_efend,timesindonesia,1
lutfi.yossi,sukabumiupdatecom,1
m.abdullatiip,sukabumiupdatecom,1
m.amindjakfar,genbanteng,1
madiuntoday.id,madiuntoday.id,1
mahardiansamarinda,agussupriyantobq7,1
mahasinul_fathani,zonaebt,1
mahmudin_karta_wijaya,wartaekonomi,1
majapahit0514,genbanteng,1
mal.nurlail,manofourtimeid,1
4erielle,trendjktcom,1
malikininspiratif,bloombergtechnoz,1
mama_rengganis,katakitaig,1
mangarawahyudi,pestamedia,1
marcoovp14,sindonews,1
4l3x42022,sindonews,1
mariotedy_syah,vibesnewssociety,1
marthin080307,kompascom,1
marthin_jacobs,katadatacoid,1
maru_0392,bitorexpost,1
maruf2tangerang,metrotv,1
mas_hyudha,madiuntoday.id,1
masih_santai678,infobandaacehs,1
maskhaizan,solehchemist,1
masrahman008,arkaproject.idn,1
matchati.idn,vibesnewssociety,1
